chunk_id,parent_document_id,file_name,doc_type,page_number,source_path
doc_00006_chunk_003,doc_00006,NIST.CSWP.29.pdf,pdf,4.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00006_chunk_004,doc_00006,NIST.CSWP.29.pdf,pdf,4.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00007_chunk_000,doc_00007,NIST.CSWP.29.pdf,pdf,5.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00007_chunk_001,doc_00007,NIST.CSWP.29.pdf,pdf,5.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00007_chunk_002,doc_00007,NIST.CSWP.29.pdf,pdf,5.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00007_chunk_003,doc_00007,NIST.CSWP.29.pdf,pdf,5.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00008_chunk_000,doc_00008,NIST.CSWP.29.pdf,pdf,6.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00008_chunk_001,doc_00008,NIST.CSWP.29.pdf,pdf,6.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00008_chunk_002,doc_00008,NIST.CSWP.29.pdf,pdf,6.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00008_chunk_003,doc_00008,NIST.CSWP.29.pdf,pdf,6.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00009_chunk_000,doc_00009,NIST.CSWP.29.pdf,pdf,7.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00009_chunk_001,doc_00009,NIST.CSWP.29.pdf,pdf,7.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00009_chunk_002,doc_00009,NIST.CSWP.29.pdf,pdf,7.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00010_chunk_000,doc_00010,NIST.CSWP.29.pdf,pdf,8.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00010_chunk_001,doc_00010,NIST.CSWP.29.pdf,pdf,8.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
